step,vehicles,avg_speed,avg_waiting,queue_length,signal_phase
0,1,0.0,0.0,1,0
1,2,0.8946756701567211,0.0,1,0
2,3,2.003089023738479,0.0,1,0
3,4,3.057118520390941,0.0,1,0
4,5,4.0518262584647164,0.0,1,0
5,6,4.848806533430859,0.0,1,0
6,7,5.7027762083870694,0.0,1,0
7,8,6.127485519077321,0.0,1,0
8,9,6.842282458193477,0.0,1,0
9,10,6.905994929785879,0.0,1,0
10,11,7.9144721874400314,0.0,1,0
11,12,8.750032911255659,0.0,1,0
12,13,9.235373567821487,0.0,1,0
13,14,9.5246871124738,0.0,1,0
14,15,8.614722455908263,0.0,1,0
15,16,8.061143129413967,0.0,1,0
16,17,7.962324695363119,0.0,1,0
17,18,7.9226552174108,0.0,1,0
18,19,8.20234973265426,0.0,1,0
19,20,8.42961371980067,0.05,2,0
20,20,8.661908032032848,0.0,1,0
21,21,9.242787220732177,0.0,1,0
22,22,9.423784430550723,0.0,1,0
23,23,9.517266336504136,0.0,1,0
24,24,10.130432170353608,0.0,1,0
25,25,10.658481484371174,0.0,1,0
26,26,11.228864425016972,0.0,1,0
27,27,11.20942885686246,0.0,1,0
28,28,10.97396427412663,0.0,1,0
29,29,10.763106103059938,0.0,1,0
30,30,10.44133364422197,0.0,1,0
31,31,10.328108513466928,0.03225806451612903,2,0
32,32,10.451876806435251,0.0625,2,0
33,33,10.431754848837974,0.09090909090909091,2,0
34,34,10.621271550596859,0.11764705882352941,2,0
35,35,10.776958583845417,0.17142857142857143,3,0
36,36,10.460174323845255,0.2222222222222222,3,0
37,37,10.129423855436464,0.2702702702702703,3,0
38,37,9.740670276083401,0.32432432432432434,2,0
39,38,9.2856760872173,0.3684210526315789,3,0
40,39,9.09480720208714,0.41025641025641024,3,0
41,40,8.979373368928728,0.45,3,0
42,42,8.70944201943539,0.47619047619047616,4,0
43,43,8.805456686057164,0.5116279069767442,3,0
44,44,8.99338749859105,0.22727272727272727,2,0
45,45,9.50893338996446,0.24444444444444444,2,0
46,46,9.943331895168559,0.2608695652173913,2,0
47,47,10.350442271022738,0.2765957446808511,2,0
48,48,10.855255631144109,0.2916666666666667,2,0
49,48,11.179758554937658,0.3125,2,0
50,49,11.326228499826582,0.32653061224489793,2,0
51,50,11.409805562305854,0.34,2,0
52,51,11.344750324506148,0.35294117647058826,2,0
53,52,11.06543967362861,0.36538461538461536,2,0
54,53,10.907068993100532,0.37735849056603776,2,0
55,53,10.717830403135098,0.39622641509433965,2,0
56,54,10.732346189931691,0.4074074074074074,2,0
57,55,10.889850584195974,0.43636363636363634,3,0
58,56,11.158372018452848,0.42857142857142855,2,0
59,56,11.511549751145427,0.44642857142857145,2,0
60,57,11.627746574255461,0.0,1,0
61,58,11.737909920365006,0.0,1,0
62,59,11.685114709750945,0.0,1,0
63,60,11.795745614593192,0.0,1,0
64,61,11.92940725407866,0.0,1,0
65,61,11.697696032509224,0.0,1,0
66,62,11.500782265786444,0.016129032258064516,2,0
67,63,11.182643242617393,0.031746031746031744,2,0
68,63,11.376853064908616,0.0,0,0
69,63,11.555895237596495,0.0,1,0
70,64,11.722487567929829,0.0,1,0
71,66,11.507494166752783,0.0,2,0
72,67,11.44543464297553,0.014925373134328358,2,0
73,68,11.45161550921155,0.029411764705882353,2,0
74,68,11.791065463745348,0.04411764705882353,1,0
75,70,11.878338008180005,0.05714285714285714,3,0
76,71,11.93742748704456,0.07042253521126761,2,0
77,72,11.959568864507098,0.08333333333333333,2,0
78,73,11.749377809474632,0.0958904109589041,2,0
79,74,11.474774200467094,0.12162162162162163,3,0
80,75,11.023935074894217,0.14666666666666667,3,0
81,75,10.908499019457844,0.17333333333333334,3,0
82,76,10.969964399593646,0.21052631578947367,4,0
83,76,11.16825124753418,0.10526315789473684,4,0
84,76,11.356320768153921,0.10526315789473684,3,0
85,77,11.712983301869343,0.09090909090909091,2,0
86,78,12.060304620857274,0.0,1,0
87,79,12.385343854397908,0.0,1,0
88,80,12.434739942882103,0.0,1,0
89,81,12.428040020882666,0.0,1,0
90,82,12.068180658701607,0.0,1,0
91,83,11.781007495273268,0.012048192771084338,2,0
92,84,11.749321831265457,0.023809523809523808,2,0
93,85,11.705593928809098,0.058823529411764705,4,0
94,86,11.567580020230729,0.09302325581395349,4,0
95,86,11.342555904997074,0.09302325581395349,3,0
96,85,11.15101022767669,0.11764705882352941,3,0
97,86,11.107957135650388,0.1511627906976744,4,0
98,86,10.896435594167585,0.18604651162790697,4,0
99,87,10.826982689316749,0.21839080459770116,4,0
100,87,10.687957308462957,0.26436781609195403,5,0
101,88,10.762592935254206,0.3068181818181818,5,0
102,89,10.806634886269064,0.3595505617977528,6,0
103,90,10.82546152005172,0.36666666666666664,5,0
104,91,10.846857837706612,0.4065934065934066,5,0
105,91,10.74062994579639,0.45054945054945056,5,0
106,91,10.712964005140785,0.5164835164835165,7,0
107,91,10.845539087680383,0.5824175824175825,7,0
108,92,10.8991238692486,0.6413043478260869,7,0
109,93,11.068359935910765,0.7096774193548387,8,0
